train,train_label,val,val_label,test,test_label
normal_126,0,normal_090,0,test_001,1.0
normal_135,0,tumor_001,1,test_002,1.0
normal_065,0,normal_064,0,test_003,0.0
normal_084,0,normal_103,0,test_004,1.0
normal_069,0,normal_083,0,test_005,0.0
tumor_075,1,normal_048,0,test_006,0.0
normal_049,0,normal_007,0,test_007,0.0
tumor_013,1,normal_115,0,test_008,1.0
tumor_026,1,normal_040,0,test_009,0.0
normal_056,0,normal_002,0,test_010,1.0
normal_118,0,normal_034,0,test_011,1.0
normal_149,0,normal_019,0,test_012,0.0
tumor_079,1,tumor_107,1,test_013,1.0
normal_021,0,normal_094,0,test_014,0.0
tumor_045,1,tumor_087,1,test_015,0.0
normal_123,0,tumor_078,1,test_016,1.0
tumor_102,1,tumor_080,1,test_017,0.0
normal_102,0,tumor_011,1,test_018,0.0
tumor_068,1,normal_012,0,test_019,0.0
tumor_021,1,tumor_084,1,test_020,0.0
normal_130,0,normal_125,0,test_021,1.0
tumor_097,1,normal_120,0,test_022,0.0
tumor_052,1,normal_093,0,test_023,0.0
tumor_089,1,normal_046,0,test_024,0.0
tumor_020,1,normal_146,0,test_025,0.0
tumor_071,1,normal_047,0,test_026,1.0
normal_114,0,tumor_044,1,test_027,1.0
normal_035,0,normal_131,0,test_028,0.0
tumor_083,1,tumor_022,1,test_029,1.0
tumor_103,1,tumor_004,1,test_030,1.0
tumor_005,1,normal_044,0,test_031,0.0
tumor_067,1,tumor_091,1,test_032,0.0
tumor_064,1,tumor_111,1,test_033,1.0
normal_150,0,tumor_024,1,test_034,0.0
normal_058,0,normal_159,0,test_035,0.0
normal_082,0,normal_072,0,test_036,0.0
normal_071,0,normal_132,0,test_037,0.0
normal_027,0,normal_148,0,test_038,1.0
normal_013,0,tumor_054,1,test_039,0.0
tumor_082,1,tumor_030,1,test_040,1.0
tumor_017,1,normal_156,0,test_041,0.0
tumor_096,1,normal_112,0,test_042,0.0
normal_078,0,normal_070,0,test_043,0.0
normal_091,0,tumor_088,1,test_044,0.0
normal_108,0,tumor_106,1,test_045,0.0
normal_136,0,normal_085,0,test_046,1.0
normal_063,0,tumor_065,1,test_047,0.0
tumor_105,1,tumor_104,1,test_048,1.0
normal_092,0,tumor_085,1,test_050,0.0
normal_157,0,tumor_069,1,test_051,1.0
normal_039,0,normal_141,0,test_052,1.0
tumor_014,1,normal_014,0,test_053,0.0
tumor_081,1,normal_043,0,test_054,0.0
normal_110,0,normal_015,0,test_055,0.0
