train,train_label,val,val_label,test,test_label
normal_136,0,normal_133,0,test_001,1.0
normal_103,0,tumor_025,1,test_002,1.0
normal_129,0,tumor_042,1,test_003,0.0
tumor_039,1,normal_066,0,test_004,1.0
normal_025,0,normal_093,0,test_005,0.0
tumor_088,1,normal_117,0,test_006,0.0
normal_115,0,normal_095,0,test_007,0.0
normal_078,0,tumor_084,1,test_008,1.0
tumor_057,1,normal_030,0,test_009,0.0
normal_021,0,normal_004,0,test_010,1.0
normal_029,0,tumor_089,1,test_011,1.0
tumor_086,1,tumor_019,1,test_012,0.0
normal_065,0,normal_036,0,test_013,1.0
normal_015,0,normal_143,0,test_014,0.0
normal_085,0,tumor_050,1,test_015,0.0
normal_019,0,tumor_101,1,test_016,1.0
tumor_059,1,tumor_029,1,test_017,0.0
tumor_048,1,tumor_094,1,test_018,0.0
normal_026,0,normal_012,0,test_019,0.0
tumor_096,1,normal_122,0,test_020,0.0
tumor_001,1,tumor_028,1,test_021,1.0
tumor_022,1,tumor_005,1,test_022,0.0
normal_128,0,tumor_075,1,test_023,0.0
normal_141,0,normal_114,0,test_024,0.0
normal_153,0,tumor_002,1,test_025,0.0
normal_045,0,tumor_098,1,test_026,1.0
normal_007,0,normal_106,0,test_027,1.0
normal_013,0,tumor_026,1,test_028,0.0
normal_100,0,normal_087,0,test_029,1.0
normal_006,0,normal_155,0,test_030,1.0
normal_111,0,normal_014,0,test_031,0.0
normal_003,0,normal_031,0,test_032,0.0
normal_142,0,normal_075,0,test_033,1.0
tumor_083,1,normal_011,0,test_034,0.0
tumor_003,1,normal_132,0,test_035,0.0
normal_154,0,normal_055,0,test_036,0.0
tumor_018,1,tumor_043,1,test_037,0.0
normal_146,0,normal_108,0,test_038,1.0
normal_135,0,normal_091,0,test_039,0.0
tumor_034,1,normal_024,0,test_040,1.0
normal_149,0,normal_067,0,test_041,0.0
tumor_006,1,normal_130,0,test_042,0.0
tumor_106,1,normal_054,0,test_043,0.0
normal_092,0,normal_101,0,test_044,0.0
tumor_065,1,tumor_015,1,test_045,0.0
tumor_008,1,tumor_030,1,test_046,1.0
tumor_011,1,normal_116,0,test_047,0.0
tumor_080,1,tumor_093,1,test_048,1.0
normal_010,0,normal_096,0,test_050,0.0
tumor_102,1,tumor_068,1,test_051,1.0
tumor_109,1,normal_157,0,test_052,1.0
normal_046,0,normal_072,0,test_053,0.0
normal_120,0,normal_042,0,test_054,0.0
normal_144,0,tumor_067,1,test_055,0.0
