train,train_label,val,val_label,test,test_label
normal_125,0,normal_013,0,test_001,1.0
tumor_098,1,tumor_063,1,test_002,1.0
tumor_100,1,normal_052,0,test_003,0.0
normal_032,0,normal_149,0,test_004,1.0
normal_019,0,normal_147,0,test_005,0.0
tumor_044,1,tumor_019,1,test_006,0.0
tumor_001,1,normal_012,0,test_007,0.0
normal_112,0,normal_059,0,test_008,1.0
tumor_026,1,normal_040,0,test_009,0.0
tumor_104,1,normal_071,0,test_010,1.0
normal_124,0,normal_035,0,test_011,1.0
tumor_031,1,tumor_088,1,test_012,0.0
normal_034,0,tumor_028,1,test_013,1.0
normal_110,0,normal_005,0,test_014,0.0
normal_036,0,tumor_110,1,test_015,0.0
tumor_081,1,tumor_111,1,test_016,1.0
normal_030,0,tumor_086,1,test_017,0.0
normal_001,0,tumor_014,1,test_018,0.0
tumor_069,1,normal_107,0,test_019,0.0
normal_093,0,normal_090,0,test_020,0.0
normal_068,0,normal_045,0,test_021,1.0
normal_080,0,tumor_036,1,test_022,0.0
normal_029,0,normal_108,0,test_023,0.0
normal_017,0,normal_039,0,test_024,0.0
normal_154,0,normal_074,0,test_025,0.0
normal_079,0,tumor_052,1,test_026,1.0
normal_087,0,normal_136,0,test_027,1.0
tumor_033,1,normal_129,0,test_028,0.0
normal_048,0,tumor_015,1,test_029,1.0
tumor_061,1,tumor_034,1,test_030,1.0
normal_118,0,tumor_011,1,test_031,0.0
normal_041,0,tumor_021,1,test_032,0.0
normal_109,0,tumor_095,1,test_033,1.0
tumor_032,1,tumor_041,1,test_034,0.0
normal_070,0,tumor_022,1,test_035,0.0
normal_140,0,tumor_067,1,test_036,0.0
tumor_027,1,normal_101,0,test_037,0.0
normal_067,0,normal_104,0,test_038,1.0
tumor_046,1,normal_028,0,test_039,0.0
tumor_092,1,normal_097,0,test_040,1.0
tumor_010,1,tumor_109,1,test_041,0.0
normal_060,0,tumor_047,1,test_042,0.0
tumor_074,1,normal_095,0,test_043,0.0
tumor_003,1,normal_020,0,test_044,0.0
tumor_009,1,normal_092,0,test_045,0.0
normal_160,0,tumor_049,1,test_046,1.0
normal_119,0,tumor_071,1,test_047,0.0
normal_121,0,normal_122,0,test_048,1.0
normal_015,0,normal_148,0,test_050,0.0
tumor_101,1,tumor_018,1,test_051,1.0
tumor_029,1,normal_063,0,test_052,1.0
normal_114,0,tumor_099,1,test_053,0.0
tumor_105,1,tumor_016,1,test_054,0.0
normal_022,0,tumor_073,1,test_055,0.0
